time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451500000	8.93145	20.7701	4.65467	3.40868	0.524796	lidar	3.62557	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.72706	20.6904	4.62813	3.4418	0.53104	radar	4.11485	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.4242	20.6102	4.81309	3.46249	0.524293	lidar	3.30415	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.19846	20.5306	4.81377	3.48923	0.524838	radar	0.0258599	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.94579	20.4503	4.87135	3.51082	0.52047	lidar	0.232044	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.72838	20.3671	4.91646	3.53695	0.522354	radar	3.21401	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.39689	20.3031	5.12393	3.53899	0.500738	lidar	3.5879	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.16862	20.2072	5.03184	3.56165	0.497241	radar	0.450573	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.89761	20.1207	5.11098	3.57492	0.487105	lidar	0.699056	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.68374	20.0275	4.98909	3.59552	0.482886	radar	0.826506	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.4346	19.9343	5.03199	3.61033	0.474988	lidar	0.490442	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.23038	19.8394	4.95506	3.63074	0.472443	radar	3.12005	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.96137	19.7436	5.0442	3.63954	0.459669	lidar	1.10153	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.71885	19.6033	5.18239	3.66489	0.462573	radar	1.3443	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.5544	19.4822	5.05712	3.69524	0.46975	lidar	1.61375	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.35346	19.3358	5.04727	3.72402	0.474269	radar	1.60894	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.14582	19.2333	5.01133	3.73798	0.466927	lidar	2.27541	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.97928	19.1185	4.80215	3.7599	0.464968	radar	4.60846	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.8181	18.9755	4.74234	3.78992	0.471081	lidar	0.347914	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
